MTA Mode,Line/Branch,RGB Hex Map,RGB Hex,Pantone CVC,CMYK
NYCT Subway,A/C/E,006ab8,0039A6,PMS 286,c100;m56
NYCT Subway,B/D/F/M,f78222,FF6319,PMS 165,m60;y100
NYCT Subway,G,7bc343,6CBE45,PMS 376,c56;y100
NYCT Subway,J/Z,af740c,996633,PMS 154,m43;y100;k34
NYCT Subway,L,92959a,A7A9AC,50% black,50k
NYCT Subway,N/Q/R/W,fed41d,FCCC0A,PMS 116,m15;y94
NYCT Subway,S,6d6e72,808183,70% black,70k
NYCT Subway,1 2 3,ed3942,EE352E,PMS 185,m91;y76
NYCT Subway,4 5 6,009d56,00933C,PMS 355,c100;y91;6k
NYCT Subway,7,9c3c96,B933AD,PMS Purple,c43;m91
NYCT Subway,SIR,006cb7,006CB7,,